key,en,zh
EVENT_START,Left the City of Stayvesant.,离开了逗留城。
,,
EVENT_SUCCESS,Adventure Succeeded.\n60 days well spent.,冒险圆满结束了。\n度过了有收获的60天。
EVENT_SUCCESS_1,An exciting adventure begins.,激动人心的冒险开始了。
EVENT_SUCCESS_2,Feeling confident with ample supplies.,因为充足的物资感到信心满满。
EVENT_SUCCESS_3,Everything is going smoothly so far.,目前一切进展顺利。
EVENT_SUCCESS_4,Casually solved a roadside puzzle.,随手解开了路边的谜题。
EVENT_SUCCESS_5,Noticed a hidden shortcut.,留意到一处隐蔽的捷径。
EVENT_SUCCESS_6,Backpack management succeeded.,背包管理成功。
EVENT_SUCCESS_7,Recalled a thought from before departure.,回忆起了出发前的某个念头。
EVENT_SUCCESS_8,Added a new marker to the map.,​在​地图​上​添​加​了​新​的​标记。
EVENT_SUCCESS_9,Found treasure at a shiny under the tree.,在树下的光点获得了宝贝。
EVENT_SUCCESS_10,Discovered a hidden hot spring.,发现了隐藏的温泉。
EVENT_SUCCESS_11,Learned a new skill.,领悟了新的技能。
EVENT_SUCCESS_12,Bargained well with a traveling merchant.,在旅行商人手上淘到了便宜货。
EVENT_SUCCESS_13,Found a handy stick.,找到了一根趁手的木棍。
EVENT_SUCCESS_14,A day of pleasant mood.,心情舒畅的一天。
EVENT_SUCCESS_15,Broke a personal record on stone skipping.,打水漂破了个人纪录。
EVENT_SUCCESS_16,Skillfully built a campfire with sticks and stones.,娴熟地用树枝和石头搭建了火堆。
EVENT_SUCCESS_17,Used a lockpick to open a chest and found another lockpick inside.,用​撬锁器​打开​了​箱子，​发现​了​撬锁器。
EVENT_SUCCESS_18,Found a map left by predecessors.,找到了前人留下的地图。
EVENT_SUCCESS_19,Discovered an excellent campsite.,发现了一处得天独厚的扎营点。
EVENT_SUCCESS_20,"Passed a fruit tree, ate, and stocked up.",路过一棵果树，连吃带拿。
EVENT_SUCCESS_21,Discovered a gorgeous view.,发现一处绝景。
EVENT_SUCCESS_22,Harvested honey while the bees were away.,趁蜂群外出，采集到了蜂蜜。
EVENT_SUCCESS_23,Found extra supplies in a backpack corner.,在背包的角落里翻出额外的物资。
EVENT_SUCCESS_24,"Climbed a watchtower, surveyed the surroundings.",登上了一座瞭望塔，掌握了周边信息。
EVENT_SUCCESS_25,Caught the largest fish in the lake.,钓上​了​湖里​最​大​的​鱼。
EVENT_SUCCESS_26,Tonight's grilled fish was perfectly cooked.,今晚的鱼烤得外酥里嫩，恰到好处。
EVENT_SUCCESS_27,"With plenty of supplies left, indulged in a lavish dinner.",还剩很多物资，晚餐奢侈了一把。
EVENT_SUCCESS_28,Enjoyed a refreshing bath in the lake.,在湖里洗了个痛快澡。
EVENT_SUCCESS_29,Quickly repaired worn shoes.,三下五除二补好了磨损的鞋。
EVENT_SUCCESS_30,"Rations spoiled just right, adding a special flavor.",干粮肉变质得恰到好处，别有风味。
EVENT_SUCCESS_31,Looked back on the journey and felt growth.,回顾来时路，感受到了成长。
EVENT_SUCCESS_32,Jumped from a great height unscathed.,从很高的地方跳下来，毫发无伤。
EVENT_SUCCESS_33,A small boat happened to be moored by the broken bridge.,断桥旁刚好停着一尾小船。
EVENT_SUCCESS_34,Brought down a bird's nest with just one stone.,只用一发石头就击落了鸟窝。
EVENT_SUCCESS_35,Experienced the legendary runner's high.,体会到了传说中的跑步高潮。
EVENT_SUCCESS_36,The lake water was cooling under the blazing sun.,烈日下的湖水透心凉。
EVENT_SUCCESS_37,Ducked into a cave a second before the rain fell.,在雨点落下的前一秒躲进了一个洞穴。
EVENT_SUCCESS_38,Stayed overnight in a deserted house.,在无人的房屋里借宿了一宿。
EVENT_SUCCESS_39,"At the end of the road, found a stone smooth as a chair, very comfortable.",长路的尽头发现一块平整如椅的石头，很舒适。
EVENT_SUCCESS_40,Climbed an impossible-looking cliff.,爬上了看似不可能的峭壁。
EVENT_SUCCESS_41,Cleverly avoided a troublesome area.,巧妙地规避了麻烦的区域。
EVENT_SUCCESS_42,"Wasn't fooled by road signs, stayed true to the path.",没有上路牌的当，坚定了内心的道路。
EVENT_SUCCESS_43,Made perfect use of an obscure survival skill.,完美用上了一个很冷门的生存技巧。
,,
,,
